message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t1683	45	to	dm				1331943153		dm45	
t920	45	from	dm				1331944046		dm45	
t1312	45	to	dm				1331947844		dm45	
t3	45	from	dm				1331947871		dm45	
t641	46	to	mention				1325813737		t19	
t1497	46	to	mention				1326417146		t69	
t651	46	to	mention				1326415893		t76	
t1660	46	to	mention				1326417153		t78	
t1486	46	to	mention				1326504258		t83	
t1491	46	to	mention				1326500512		t84	
t1494	46	to	mention				1326761835		t95	
t1483	46	to	mention				1326849397		t98	
t647	46	to	mention				1326849532		t99	
t969	46	to	mention				1327022587		t110	
t142	46	to	mention				1327021747		t113	
t1488	46	to	mention				1327711173		t131	
t1046	46	to	mention				1327885792		t137	
t1194	46	to	mention				1328749901		t165	
t645	46	to	mention				1329264333		t182	
t638	46	to	mention				1329355983		t199	
t1335	46	to	mention				1329609689		t209	
t1487	46	to	mention				1329785227		t211	
t656	46	to	mention				1329869955		t215	
t646	46	to	mention				1329872404		t216	
t644	46	to	mention				1329872444		t217	
t635	46	to	mention				1329960093		t222	
t1672	46	to	mention				1330391343		t257	
t889	46	to	mention				1330735357		t287	
t1010	46	to	mention				1331687471		t370	
t1484	46	to	mention				1332461141		t430	
t1492	46	to	mention				1333413423		t502	
t1489	46	to	mention				1333676055		t534	
t1235	46	to	mention				1333676059		t535	
